image_#,t_optimal_median_gaussian_eme,eme_at_t0_median_gaussian,eme_at_t_optimal_median_gaussian,t_optimal_emee_median_gaussian,emee_at_t0_median_gaussian,emee_at_t_optimal_median_gaussian,t_optimal_ame_median_gaussian,ame_at_t0_median_gaussian,ame_at_t_optimal_median_gaussian,t_optimal_eme_original_grayscale,eme_at_t0_original_grayscale,eme_at_t_optimal_original_grayscale,t_optimal_emee_original_grayscale,emee_at_t0_original_grayscale,emee_at_t_optimal_original_grayscale,t_optimal_ame_original_grayscale,ame_at_t0_original_grayscale,ame_at_t_optimal_original_grayscale,t_optimal_eme_median_filtered,eme_at_t0_median_filtered,eme_at_t_optimal_median_filtered,t_optimal_emee_median_filtered,emee_at_t0_median_filtered,emee_at_t_optimal_median_filtered,t_optimal_ame_median_filtered,ame_at_t0_median_filtered,ame_at_t_optimal_median_filtered
1,0,441.44769606986887,441.44769606986887,20,1.721745541932314,1.7454874018996873,36,-0.19421000232783234,-0.17236322338773125,29,706.8092613828325,710.0438279645764,30,1.9411382129864287,1.9876438007066026,30,-0.12552408707909757,-0.10848191550641759,23,490.6212254906689,491.067183507857,34,1.7612767549694401,1.7864368156892558,34,-0.1784555962366782,-0.15949456259937062
2,1,398.1501139507316,398.40913227376456,18,1.7709803547681304,1.7713512571603038,27,-0.09248137727146673,-0.08051312375392765,1,666.3221255164093,696.6250124061593,17,2.023382224166959,2.1088680457206657,25,-0.05929412143855115,-0.048849190405531505,1,435.0966315940546,436.4637396295094,20,1.794655388911428,1.814862113838919,26,-0.08977141744307746,-0.07672452763697563
3,0,709.3489269001052,709.3489269001052,6,2.003916125176502,2.019959490446421,66,-0.2070983321704307,-0.16923173999674904,13,914.0890792078028,917.0948631527631,56,2.157117887699593,2.1830373726682635,79,-0.15590043167224582,-0.14668644434449019,2,672.205243155061,672.2386678501512,6,2.002002593662435,2.0173904606197657,65,-0.19752738129340033,-0.17878233239626798
4,2,563.3931847500438,563.7543316963665,0,1.5631739308676948,1.5631739308676948,45,-0.1159790459007107,-0.109339344685057,0,842.5770110675242,842.5770110675242,0,1.7800054586734684,1.7800054586734684,34,-0.07848303132491496,-0.07420923190303096,0,634.7518993618182,634.7518993618182,0,1.6234822237108815,1.6234822237108815,43,-0.10681737878047312,-0.1023964800447331
5,0,793.0347133123081,793.0347133123081,0,1.993124226216221,1.993124226216221,129,-0.13989729016032287,-0.1349756772060774,1,1192.8440095098263,1196.4535212966293,87,2.233810633520274,2.248548151558291,111,-0.10761182722150385,-0.10327541435101072,0,847.7071018004715,847.7071018004715,0,2.025446517993123,2.025446517993123,126,-0.133471161670575,-0.1287224839171422
6,2,563.3931847500438,563.7543316963665,0,1.5631739308676948,1.5631739308676948,45,-0.1159790459007107,-0.109339344685057,0,842.5770110675242,842.5770110675242,0,1.7800054586734684,1.7800054586734684,34,-0.07848303132491496,-0.07420923190303096,0,634.7518993618182,634.7518993618182,0,1.6234822237108815,1.6234822237108815,43,-0.10681737878047312,-0.1023964800447331
7,5,480.3580053293627,480.75085887321524,20,1.8866436439377703,1.8904120333285959,37,-0.0726641568903761,-0.0644956006781315,14,780.5739749083913,787.1629049710372,14,2.1512679673543293,2.1858737955349,26,-0.04515671602129676,-0.037762714574642156,5,528.9629270300974,530.5686351041006,21,1.908557537322088,1.930956661332909,36,-0.0694568592698325,-0.059040540057134695
8,10,540.0440334075333,541.0782589852918,41,1.794695061556988,1.814901928139468,41,-0.16518248022752702,-0.14937791420620883,11,815.5039968084311,816.146349457013,36,1.9902983929966744,2.016361603752206,36,-0.11060943378021092,-0.09717456607619047,10,577.5803245730663,581.107612369267,41,1.8068995364195348,1.8417771262402851,41,-0.15640094780592914,-0.13998805078012552
9,3,457.20286534321434,458.5157727256444,13,1.7438174991243596,1.7599013868527869,51,-0.1336783211234346,-0.11530316084740405,3,690.3052064966014,693.7730951495657,43,1.9017989923575433,1.9414417996868951,43,-0.10286498760148319,-0.08551098680175498,3,525.6667049645966,527.8708935265123,1,1.7209290912768918,1.7705983161611811,48,-0.15482211602659957,-0.11991166463231896
10,0,524.1472944610691,524.1472944610691,0,1.8321471972460017,1.8321471972460017,48,-0.15599781363441056,-0.14485848801796317,5,763.3550602243039,765.203462022788,43,2.0213308329595474,2.0403066207148153,43,-0.10255610586916243,-0.09248445488935826,1,574.3449831362261,575.2222717151276,48,1.850775738409743,1.860684130795064,48,-0.1496417758478411,-0.13723396667412427
